ccx_id,it_buy,clothing_buy,food_buy,home_buy,ent_buy,tools_buy,stationery_buy,health_buy,skincare_buy,other_buy,it_buy_count,clothing_buy_count,food_buy_count,home_buy_count,ent_buy_count,tools_buy_count,stationery_buy_count,health_buy_count,skincare_buy_count,other_buy_count
1,58.0,177.5,230.5,9.41,0.0,0.0,48.0,26.9,26.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,8.0,1.0,1.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,0.0,17.0,0.0,39.52,0.0,0.0,169.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
4,0.0,0.0,93.69999999999999,1013.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,29.5,32.8,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,0.0,3613.0,9.9,47.9,0.0,0.0,138.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10,0.0,0.0,0.0,16.5,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
14,38.0,68.81,64.3,0.0,0.0,0.0,8.8,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
15,35.0,331.75,0.0,215.9,0.0,34.9,59.6,0.0,0.0,88.0,1.0,7.0,0.0,4.0,0.0,1.0,7.0,0.0,0.0,1.0
17,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
19,75.0,0.0,0.0,75.0,0.0,0.0,0.0,75.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
26,0.0,0.0,24.8,78.22,0.0,0.0,12.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,0.0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,0.0,283.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
32,0.0,98.0,0.0,29.9,0.0,0.0,22.8,0.0,0.0,28.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
35,0.0,256.0,29.7,87.8,0.0,0.0,89.0,0.0,42.7,0.0,0.0,6.0,1.0,3.0,0.0,0.0,2.0,0.0,5.0,0.0
38,0.0,120.2,218.0,118.69999999999999,0.0,0.0,257.0,0.0,81.4242,115.47579999999999,0.0,11.0,1.0,12.0,0.0,0.0,4.0,0.0,4.0,2.0
39,0.0,0.0,0.0,0.0,0.0,0.0,68.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,305.11,555.7,0.0,0.0,0.0,0.0,139.8,0.0,0.0,18.0,3.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,18.7,82.7,18.7,0.0,0.0,0.0,18.2,0.0,0.0,82.7,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
44,0.0,0.0,0.0,9.9,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48,266.02,838.04,99.8,279.46000000000004,0.0,0.0,158.0,228.0,133.01,203.8,2.0,14.0,5.0,5.0,0.0,0.0,12.0,1.0,4.0,3.0
51,0.0,319.20000000000005,0.0,201.2,64.0,0.0,28.0,0.0,216.7,64.0,0.0,6.0,0.0,3.0,1.0,0.0,3.0,0.0,27.0,3.0
55,16.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,762.0,0.0,354.9127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,384.88,0.0,138.8,32.0,0.0,79.0,0.0,84.5,48.01,0.0,7.0,0.0,1.0,2.0,0.0,7.0,0.0,2.0,1.0
62,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,52.7,0.0,12.9,0.0,0.0,25.0,0.0,93.0,148.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
65,0.0,0.0,0.0,99.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
66,0.0,69.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,0.0,0.0,48.0,0.0,0.0,0.0,0.0,39.8,0.0,39.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
68,55.0,278.0,0.0,59.0,0.0,0.0,10.9,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
72,10.8,225.5,29.9,0.0,0.0,0.0,80.0,0.0,59.7,0.0,1.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
74,0.0,0.0,225.1,225.1,0.0,0.0,225.1,418.0,0.0,868.2,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0
75,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,46.74,0.0,0.0,0.0,30.0,8.0,5.1,6.8999999999999995,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0
